Departament,semester,code,name,cred,class,vacancies,occupied,day,start,length,prof,campus,building,room
PPGEE,2023 - Iy,ELExx216,Controle Multivariável,4,U,5,5,Qui,15:30,2,JOAO MANOEL GOMES DA SILVA JUNIOR,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx223,Sistemas Lineares - A,4,U,5,5,Qua,13:30,1,JEFERSON VIEIRA FLORES,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx223,Sistemas Lineares - A,4,U,5,5,Qua,14:30,1,LUCIOLA CAMPESTRINI,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx223,Sistemas Lineares - A,4,U,5,5,Sex,13:30,1,JEFERSON VIEIRA FLORES,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx223,Sistemas Lineares - A,4,U,5,5,Sex,14:30,1,LUCIOLA CAMPESTRINI,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx230,Redação de Artigos Científicos,1,U,5,5,Qui,15:30,2,DIEGO ECKHARD,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx305,Qualidade de Energia Elétrica,4,U,5,5,Sex,13:30,2,ROBERTO CHOUHY LEBORGNE,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx305,Qualidade de Energia Elétrica,4,U,5,5,Sex,15:30,2,ROBERTO CHOUHY LEBORGNE,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx316,Otimização Heurística,4,U,5,5,Sex,8:30,2,SERGIO LUIS HAFFNER,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx316,Otimização Heurística,4,U,5,5,Sex,10:30,2,SERGIO LUIS HAFFNER,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx317,Análise de Máquinas Elétricas,4,U,5,5,Seg,17:30,2,LUÍS ALBERTO PEREIRA,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx317,Análise de Máquinas Elétricas,4,U,5,5,Qua,17:30,2,LUÍS ALBERTO PEREIRA,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx321,Acionamento Eletrônico de Máquinas Elétricas,4,U,5,5,Seg,08:30,2,Paulo Roberto Eckert,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx321,Acionamento Eletrônico de Máquinas Elétricas,4,U,5,5,Seg,10:30,2,Paulo Roberto Eckert,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx202,Sistemas de Automação - A,4,U,5,5,Qua,08:30,2,CARLOS EDUARDO PEREIRA,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx202,Sistemas de Automação - A,4,U,5,5,Qua,10:30,2,CARLOS EDUARDO PEREIRA,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx322,Aterramento Elétrico em Baixa e Alta Frequências,2,U,5,5,Qui,15:30,2,Gazzana,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx323,Processo Estocásticos,4,U,5,5,Seg,10:30,2,ALEXANDRE SANFELICE BAZANELLA,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx323,Processo Estocásticos,4,U,5,5,Qua,10:30,2,ALEXANDRE SANFELICE BAZANELLA,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx410,Tóp. Esp. em Eng. Elétrica,4,U,5,5,Seg,08:30,2,ALEXANDRE BALBINOT,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx410,Tóp. Esp. em Eng. Elétrica,4,U,5,5,Seg,10:30,2,ALEXANDRE BALBINOT,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx402,Tóp. Esp. em Sistemas de Automação,4,U,5,5,Ter,15:30,2,EDISON PIGNATON DE FREITAS,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx402,Tóp. Esp. em Sistemas de Automação,4,U,5,5,Ter,17:30,2,EDISON PIGNATON DE FREITAS,centro,Eletro,301a
PPGEE,2023 - Iy,ELExx407,Tópicos Especiais em Comunicações,4,U,5,5,Ter,13:30,2,ALVARO AUGUSTO ALMEIDA DE SALLES,undef,undef,undef
PPGEE,2023 - Iy,ELExx407,Tópicos Especiais em Comunicações,4,U,5,5,Ter,15:30,2,ALVARO AUGUSTO ALMEIDA DE SALLES,undef,undef,undef
PPGEE,2023 - Iy,ELExx409,Tópicos Especiais em Sistemas de Potência,4,U,5,5,Qui,8:30,2,FLAVIO ANTONIO BECON LEMOS,undef,undef,undef
PPGEE,2023 - Iy,ELExx409,Tópicos Especiais em Sistemas de Potência,4,U,5,5,Qui,10:30,2,FLAVIO ANTONIO BECON LEMOS,undef,undef,undef
