Departament,semester,code,name,cred,class,vacancies,day,start,length,prof,campus,building,room
DELAE,2019 - I,ENG10049,ACIONAMENTO DE MÁQUINAS ELÉTRICAS - A,4,U,25,Ter,17:30,2,LUÍS ALBERTO PEREIRA,undef,undef,undef
DELAE,2019 - I,ENG10049,ACIONAMENTO DE MÁQUINAS ELÉTRICAS - A,4,U,25,Qui,17:30,2,LUÍS ALBERTO PEREIRA,undef,undef,undef
DELAE,2019 - I,ENG10006,ANÁLISE DE SISTEMAS ELÉTRICOS DE POTÊNCIA,4,U,16,Ter,8:30,2,ROBERTO CHOUHY LEBORGNE,centro,Eletro,305
DELAE,2019 - I,ENG10006,ANÁLISE DE SISTEMAS ELÉTRICOS DE POTÊNCIA,4,U,16,Qui,8:30,2,ROBERTO CHOUHY LEBORGNE,centro,Eletro,305
DELAE,2019 - I,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,53,Seg,15:30,2,MARIANA RESENER,centro,Eletro,304
DELAE,2019 - I,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,53,Qua,15:30,2,MARIANA RESENER,centro,Eletro,304
DELAE,2019 - I,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,50,Ter,15:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,304
DELAE,2019 - I,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,50,Qui,15:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,304
DELAE,2019 - I,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,A,40,Ter,17:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,304
DELAE,2019 - I,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,A,40,Qui,17:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,304
DELAE,2019 - I,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,43,Seg,13:30,2,VALNER JOAO BRUSAMARELLO,centro,Eletro,306
DELAE,2019 - I,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,43,Qua,13:30,2,VALNER JOAO BRUSAMARELLO,centro,Eletro,306
DELAE,2019 - I,ENG10051,DINÂMICA E CONTROLE DE ROBÔS,4,U,20,Ter,17:30,2,WALTER FETTER LAGES,centro,Eletro,301
DELAE,2019 - I,ENG10051,DINÂMICA E CONTROLE DE ROBÔS,4,U,20,Qui,17:30,2,WALTER FETTER LAGES,centro,Eletro,301
DELAE,2019 - I,ENG10030,ELETRICIDADE E INSTRUMENTAÇÃO,4,U,30,Seg,16:30,2,THALES EXENBERGER BECKER,centro,Eng. nova,undef
DELAE,2019 - I,ENG10030,ELETRICIDADE E INSTRUMENTAÇÃO,4,U,30,Qua,16:30,2,THALES EXENBERGER BECKER,centro,Eng. nova,undef
DELAE,2019 - I,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,A,37,Seg,10:30,2,ALCEU HEINKE FRIGERI,centro,Eletro,306
DELAE,2019 - I,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,A,37,Qua,10:30,2,ALCEU HEINKE FRIGERI,centro,Eletro,306
DELAE,2019 - I,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,B,36,Seg,18:30,2,THALES EXENBERGER BECKER,centro,Eletro,306
DELAE,2019 - I,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,B,36,Qua,18:30,2,THALES EXENBERGER BECKER,centro,Eletro,306
DELAE,2019 - I,ENG10027,ELETRÔNICA FUNDAMENTAL II - B,4,A3,14,Ter,13:30,2,MARCELO GOTZ,centro,Eletro,303
DELAE,2019 - I,ENG10027,ELETRÔNICA FUNDAMENTAL II - B,4,A3,14,Qua,10:30,2,MARCELO GOTZ,centro,Eletro,200
DELAE,2019 - I,ENG10027,ELETRÔNICA FUNDAMENTAL II - B,4,B3,14,Ter,13:30,2,MARCELO GOTZ,centro,Eletro,303
DELAE,2019 - I,ENG10027,ELETRÔNICA FUNDAMENTAL II - B,4,B3,14,Qua,13:30,2,THALES EXENBERGER BECKER,centro,Eletro,200
DELAE,2019 - I,ENG10031,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,2,U,21,Ter,15:30,2,RENATO VENTURA BAYAN HENRIQUES,undef,undef,undef
DELAE,2019 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,A,16,Seg,8:30,2,FLAVIO ANTONIO BECON LEMOS,centro,Eletro,200
DELAE,2019 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,B,16,Seg,10:30,2,RENATO VENTURA BAYAN HENRIQUES,centro,Eletro,200
DELAE,2019 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,C,16,Seg,13:30,2,MARIANA RESENER,centro,Eletro,200
DELAE,2019 - I,ENG10005,LABORATÓRIO DE CONTROLE,2,A,14,Qua,10:30,2,JOAO MANOEL GOMES DA SILVA JUNIOR,centro,Eletro,301
DELAE,2019 - I,ENG10005,LABORATÓRIO DE CONTROLE,2,B,14,Qua,13:30,2,JOAO MANOEL GOMES DA SILVA JUNIOR,centro,Eletro,301
DELAE,2019 - I,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,A,14,Seg,18:30,2,AURÉLIO TERGOLINA SALTON,centro,Eletro,200
DELAE,2019 - I,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,B,14,Qua,8:30,2,RENATO VENTURA BAYAN HENRIQUES,centro,Eletro,200
DELAE,2019 - I,ENG10032,MICROCONTROLADORES,2,A,20,Qua,8:30,2,WALTER FETTER LAGES,centro,Eletro,301
DELAE,2019 - I,ENG10032,MICROCONTROLADORES,2,B,21,Qua,15:30,2,WALTER FETTER LAGES,centro,Eletro,301
DELAE,2019 - I,ENG10008,PLANEJAMENTO ENERGÉTICO,4,U3,15,Ter,10:30,2,SERGIO LUIS HAFFNER,centro,Eletro,301
DELAE,2019 - I,ENG10008,PLANEJAMENTO ENERGÉTICO,4,U3,15,Qui,10:30,2,SERGIO LUIS HAFFNER,centro,Eletro,301
DELAE,2019 - I,ENG10046,PRINCÍPIOS DE ELETRÔNICA DE POTÊNCIA,2,U,45,Qui,13:30,2,MARIANA RESENER,centro,Eletro,303
DELAE,2019 - I,ENG10048,PROTOCOLOS DE COMUNICAÇÃO - A,4,A,20,Ter,13:30,2,ALCEU HEINKE FRIGERI,centro,Eletro,301
DELAE,2019 - I,ENG10048,PROTOCOLOS DE COMUNICAÇÃO - A,4,A,20,Qui,13:30,2,ALCEU HEINKE FRIGERI,centro,Eletro,301
DELAE,2019 - I,ENG10018,SISTEMAS DE CONTROLE II,4,U3,30,Seg,8:30,2,ALEXANDRE SANFELICE BAZANELLA,centro,Eletro,303
DELAE,2019 - I,ENG10018,SISTEMAS DE CONTROLE II,4,U3,30,Qua,8:30,2,ALEXANDRE SANFELICE BAZANELLA,centro,Eletro,303
DELAE,2019 - I,ENG10040,SISTEMAS DE TRANSMISSÃO DE ENERGIA ELÉTRICA,4,U,21,Seg,10:30,2,FLAVIO ANTONIO BECON LEMOS,centro,Eletro,305
DELAE,2019 - I,ENG10040,SISTEMAS DE TRANSMISSÃO DE ENERGIA ELÉTRICA,4,U,21,Qua,10:30,2,FLAVIO ANTONIO BECON LEMOS,centro,Eletro,305
DELAE,2019 - I,ENG10042,SISTEMAS DIGITAIS - A,4,U,50,Ter,8:30,2,MARCELO GOTZ,centro,Prédio Branco,042
DELAE,2019 - I,ENG10042,SISTEMAS DIGITAIS - A,4,U,50,Qui,8:30,2,MARCELO GOTZ,centro,Prédio Branco,042
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,A3,23,Ter,8:30,2,LUCIOLA CAMPESTRINI,centro,Prédio Branco,043
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,A3,23,Qui,8:30,2,LUCIOLA CAMPESTRINI,centro,Prédio Branco,032
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,A3,23,Sex,8:30,2,AURÉLIO TERGOLINA SALTON,centro,Eletro,301
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,B3,24,Ter,8:30,2,LUCIOLA CAMPESTRINI,centro,Prédio Branco,043
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,B3,24,Qui,8:30,2,LUCIOLA CAMPESTRINI,centro,Prédio Branco,032
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,B3,24,Sex,10:30,2,THALES EXENBERGER BECKER,centro,Eletro,301
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,C,23,Seg,16:30,2,AURÉLIO TERGOLINA SALTON,centro,Eletro,303
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,C,23,Qua,16:30,2,AURÉLIO TERGOLINA SALTON,centro,Eletro,303
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,C,23,Sex,13:30,2,THALES EXENBERGER BECKER,centro,Eletro,301
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,D,21,Seg,16:30,2,AURÉLIO TERGOLINA SALTON,centro,Eletro,303
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,D,21,Qua,16:30,2,AURÉLIO TERGOLINA SALTON,centro,Eletro,303
DELAE,2019 - I,ENG10017,SISTEMAS E SINAIS,6,D,21,Sex,15:30,2,THALES EXENBERGER BECKER,centro,Eletro,301
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,45,Seg,15:30,2,MARIANA RESENER,centro,Prédio Branco,034
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,45,Qua,15:30,2,MARIANA RESENER,centro,Prédio Branco,042
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,45,Ter,15:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,304
DELAE,2019 - II,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,45,Qui,15:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,304
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,A,40,Ter,17:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,304
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,A,40,Qui,17:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,304
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,40,Seg,13:30,2,AURÉLIO TERGOLINA SALTON,centro,Prédio Branco,034
DELAE,2019 - II,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,40,Qua,13:30,2,AURÉLIO TERGOLINA SALTON,centro,Prédio Branco,034
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,A,40,Seg,10:30,2,ALCEU HEINKE FRIGERI,centro,Eletro,306
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,A,40,Qua,10:30,2,ALCEU HEINKE FRIGERI,centro,Eletro,306
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,B,40,Ter,15:30,2,THALES EXENBERGER BECKER,centro,Eletro,306
DELAE,2019 - II,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,B,40,Qui,15:30,2,THALES EXENBERGER BECKER,centro,Eletro,306
DELAE,2019 - II,ENG10047,FUNDAMENTOS DE MÁQUINAS ELÉTRICAS,4,T,25,Seg,15:30,2,LUÍS ALBERTO PEREIRA,centro,Eletro,306
DELAE,2019 - II,ENG10047,FUNDAMENTOS DE MÁQUINAS ELÉTRICAS,4,T,25,Qua,15:30,2,LUÍS ALBERTO PEREIRA,centro,Eletro,306
DELAE,2019 - II,ENG10022,INSTRUMENTAÇÃO FUNDAMENTAL PARA CONTROLE E AUTOMAÇÃO,4,U,30,Ter,13:30,2,VALNER JOAO BRUSAMARELLO,centro,Eletro,306
DELAE,2019 - II,ENG10022,INSTRUMENTAÇÃO FUNDAMENTAL PARA CONTROLE E AUTOMAÇÃO,4,U,30,Qui,13:30,2,VALNER JOAO BRUSAMARELLO,centro,Eletro,306
DELAE,2019 - II,ENG10031,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,2,U,6,Ter,15:30,2,RENATO VENTURA BAYAN HENRIQUES,undef,undef,undef
DELAE,2019 - II,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,A,17,Sex,8:30,2,MARIANA RESENER,centro,Eletro,200
DELAE,2019 - II,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,B,17,Sex,10:30,2,MARIANA RESENER,centro,Eletro,200
DELAE,2019 - II,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,A,16,Seg,10:30,2,RENATO VENTURA BAYAN HENRIQUES,centro,Eletro,200
DELAE,2019 - II,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,B,16,Seg,13:30,2,THALES EXENBERGER BECKER,centro,Eletro,200
DELAE,2019 - II,ENG10050,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELÉTRICOS,2,B,12,Seg,17:30,2,THALES EXENBERGER BECKER,centro,Eletro,110
DELAE,2019 - II,ENG10050,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELÉTRICOS,2,C,12,Seg,19:30,2,THALES EXENBERGER BECKER,centro,Eletro,110
DELAE,2019 - II,ENG10052,LABORATÓRIO DE ROBÓTICA,2,C,11,Qua,17:30,2,RENATO VENTURA BAYAN HENRIQUES,centro,Eng. nova,undef
DELAE,2019 - II,ENG10043,LABORATÓRIO DE SISTEMAS DIGITAIS,2,A,14,Ter,8:30,2,MARCELO GOTZ,centro,Eletro,305
