Departament,semester,code,name,cred,class,vacancies,occupied,day,start,length,prof,campus,building,room
DELAE,2025 - I,ENG10049,ACIONAMENTO DE MÁQUINAS ELÉTRICAS - A,4,U,25,14,Ter,15:30,2,LUÍS ALBERTO PEREIRA,centro,Prédio Branco,042
DELAE,2025 - I,ENG10049,ACIONAMENTO DE MÁQUINAS ELÉTRICAS - A,4,U,25,14,Qui,15:30,2,LUÍS ALBERTO PEREIRA,centro,Prédio Branco,042
DELAE,2025 - I,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,42,37,Seg,13:30,2,CARLOS EDUARDO PEREIRA,centro,Prédio Branco,056
DELAE,2025 - I,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,42,37,Qua,13:30,2,CARLOS EDUARDO PEREIRA,centro,Prédio Branco,056
DELAE,2025 - I,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,42,41,Ter,13:30,2,ROBERTO CHOUHY LEBORGNE,centro,Prédio Branco,043
DELAE,2025 - I,ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,42,41,Qui,13:30,2,ROBERTO CHOUHY LEBORGNE,centro,Prédio Branco,043
DELAE,2025 - I,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,36,33,Seg,13:30,2,VALNER JOAO BRUSAMARELLO,centro,Eletro,303
DELAE,2025 - I,ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,36,33,Qua,13:30,2,VALNER JOAO BRUSAMARELLO,centro,Eletro,303
DELAE,2025 - I,ENG10030,ELETRICIDADE E INSTRUMENTAÇÃO,4,U,20,14,Ter,10:30,2,BIBIANA MAITÊ PETRY FERRAZ,centro,Prédio Branco,034
DELAE,2025 - I,ENG10030,ELETRICIDADE E INSTRUMENTAÇÃO,4,U,20,14,Qui,10:30,2,BIBIANA MAITÊ PETRY FERRAZ,centro,Prédio Branco,034
DELAE,2025 - I,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,A,30,21,Seg,10:30,2,ALCEU HEINKE FRIGERI,centro,Eletro,306
DELAE,2025 - I,ENG10044,ELETRÔNICA FUNDAMENTAL I - B,4,A,30,21,Qua,10:30,2,ALCEU HEINKE FRIGERI,centro,Eletro,306
DELAE,2025 - I,ENG10031,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,2,U,10,0,Ter,15:30,2,RENATO VENTURA BAYAN HENRIQUES,undef,undef,undef
DELAE,2025 - I,ENG10031,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,2,U1,10,2,Qui,13:30,2,RENATO VENTURA BAYAN HENRIQUES,undef,undef,undef
DELAE,2025 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,A,6,3,Ter,15:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,200
DELAE,2025 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,A1,6,5,Sex,8:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,200
DELAE,2025 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,B,6,5,Ter,13:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,200
DELAE,2025 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,B1,10,10,Sex,10:30,2,TRISTAO JULIO GARCIA DOS SANTOS,centro,Eletro,200
DELAE,2025 - I,ENG10005,LABORATÓRIO DE CONTROLE,2,A1,12,12,Qua,10:30,2,JOAO MANOEL GOMES DA SILVA JUNIOR,centro,Eletro,301
DELAE,2025 - I,ENG10005,LABORATÓRIO DE CONTROLE,2,B1,12,4,Sex,10:30,2,JOAO MANOEL GOMES DA SILVA JUNIOR,centro,Eletro,301
DELAE,2025 - I,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,A,8,5,Qua,8:30,2,VALNER JOAO BRUSAMARELLO,centro,Eletro,200
DELAE,2025 - I,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,B,10,10,Qua,10:30,2,BIBIANA MAITÊ PETRY FERRAZ,centro,Eletro,200
DELAE,2025 - I,ENG10050,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELÉTRICOS,2,D,10,10,Seg,10:30,2,RENATO GONÇALVES FERRAZ,centro,Eletro,110
DELAE,2025 - I,ENG10008,PLANEJAMENTO ENERGÉTICO,4,U3,20,16,Ter,10:30,2,SERGIO LUIS HAFFNER,centro,Eletro,301
DELAE,2025 - I,ENG10008,PLANEJAMENTO ENERGÉTICO,4,U3,20,16,Qui,10:30,2,SERGIO LUIS HAFFNER,centro,Eletro,301
DELAE,2025 - I,ENG10046,PRINCÍPIOS DE ELETRÔNICA DE POTÊNCIA,2,U,25,18,Qui,13:30,2,BIBIANA MAITÊ PETRY FERRAZ,centro,Eletro,304
DELAE,2025 - I,ENG10041,PROTEÇÃO E ESTABILIDADE DOS SISTEMAS ELÉTRICOS DE POTÊNCIA,4,A,14,9,Seg,8:30,2,FLAVIO ANTONIO BECON LEMOS,centro,Eletro,305
DELAE,2025 - I,ENG10041,PROTEÇÃO E ESTABILIDADE DOS SISTEMAS ELÉTRICOS DE POTÊNCIA,4,A,14,9,Qua,8:30,2,FLAVIO ANTONIO BECON LEMOS,centro,Eletro,305
DELAE,2025 - I,ENG10048,PROTOCOLOS DE COMUNICAÇÃO - A,4,B,16,17,Ter,13:30,2,ALCEU HEINKE FRIGERI,centro,Eletro,301
DELAE,2025 - I,ENG10048,PROTOCOLOS DE COMUNICAÇÃO - A,4,B,16,17,Qui,13:30,2,ALCEU HEINKE FRIGERI,centro,Eletro,301
DELAE,2025 - I,ENG10014,QUALIDADE DE ENERGIA ELÉTRICA,4,U1,18,17,Qua,17:30,4,ROBERTO CHOUHY LEBORGNE,undef,undef,undef
DELAE,2025 - I,ENG10026,ROBÓTICA A,4,U,20,3,Ter,17:30,2,WALTER FETTER LAGES,centro,Eletro,301
DELAE,2025 - I,ENG10026,ROBÓTICA A,4,U,20,3,Qui,17:30,2,WALTER FETTER LAGES,centro,Eletro,301
DELAE,2025 - I,ENG10054,ROBÓTICA MÓVEL,4,U,10,4,Ter,8:30,2,WALTER FETTER LAGES,centro,Eletro,301
DELAE,2025 - I,ENG10054,ROBÓTICA MÓVEL,4,U,10,4,Qui,8:30,2,WALTER FETTER LAGES,centro,Eletro,301
DELAE,2025 - I,ENG10021,SISTEMAS A EVENTOS DISCRETOS,4,U,12,11,Ter,15:30,2,MARCELO GOTZ,centro,Eletro,301
DELAE,2025 - I,ENG10021,SISTEMAS A EVENTOS DISCRETOS,4,U,12,11,Qui,15:30,2,MARCELO GOTZ,centro,Eletro,301
DELAE,2025 - I,ENG10018,SISTEMAS DE CONTROLE II,4,U3,25,24,Seg,8:30,2,ALEXANDRE SANFELICI BAZANELLA,centro,Eletro,303
DELAE,2025 - I,ENG10018,SISTEMAS DE CONTROLE II,4,U3,25,24,Qua,8:30,2,ALEXANDRE SANFELICI BAZANELLA,centro,Eletro,303
DELAE,2025 - I,ENG10040,SISTEMAS DE TRANSMISSÃO DE ENERGIA ELÉTRICA,4,U,21,19,Seg,10:30,2,FLAVIO ANTONIO BECON LEMOS,centro,Eletro,305
DELAE,2025 - I,ENG10040,SISTEMAS DE TRANSMISSÃO DE ENERGIA ELÉTRICA,4,U,21,19,Qua,10:30,2,FLAVIO ANTONIO BECON LEMOS,centro,Eletro,305
