Departament,semester,Atividades de Ensino.1,Atividades de Ensino.2,Créditos,Turmas,Vagas Oferecidas,Horários Locais.1,Horários Locais.2.1,Horários Locais.2.2,Professores
DELAE,2019 - I,ENG10027,ELETRÔNICA FUNDAMENTAL II - B,4,A3,14,centro,Eletro,303,MARCELO GOTZ
DELAE,2019 - I,ENG10027,ELETRÔNICA FUNDAMENTAL II - B,4,A3,14,Qua,10:30,2,MARCELO GOTZ
DELAE,2019 - I,ENG10027,ELETRÔNICA FUNDAMENTAL II - B,4,A3,14,centro,Eletro,200,MARCELO GOTZ
DELAE,2019 - I,ENG10027,ELETRÔNICA FUNDAMENTAL II - B,4,B3,14,Ter,13:30,2,MARCELO GOTZ
DELAE,2019 - I,ENG10027,ELETRÔNICA FUNDAMENTAL II - B,4,B3,14,centro,Eletro,303,MARCELO GOTZ
DELAE,2019 - I,ENG10027,ELETRÔNICA FUNDAMENTAL II - B,4,B3,14,Qua,13:30,2,THALES EXENBERGER BECKER
DELAE,2019 - I,ENG10027,ELETRÔNICA FUNDAMENTAL II - B,4,B3,14,centro,Eletro,200,THALES EXENBERGER BECKER
DELAE,2019 - I,ENG10031,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,2,U,21,Ter,15:30,2,RENATO VENTURA BAYAN HENRIQUES
DELAE,2019 - I,ENG10031,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,2,U,21,undef,undef,undef,RENATO VENTURA BAYAN HENRIQUES
DELAE,2019 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,A,16,Seg,8:30,2,FLAVIO ANTONIO BECON LEMOS
DELAE,2019 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,A,16,centro,Eletro,200,FLAVIO ANTONIO BECON LEMOS
DELAE,2019 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,B,16,Seg,10:30,2,RENATO VENTURA BAYAN HENRIQUES
DELAE,2019 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,B,16,centro,Eletro,200,RENATO VENTURA BAYAN HENRIQUES
DELAE,2019 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,C,16,Seg,13:30,2,MARIANA RESENER
DELAE,2019 - I,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,2,C,16,centro,Eletro,200,MARIANA RESENER
DELAE,2019 - I,ENG10005,LABORATÓRIO DE CONTROLE,2,A,14,Qua,10:30,2,JOAO MANOEL GOMES DA SILVA JUNIOR
DELAE,2019 - I,ENG10005,LABORATÓRIO DE CONTROLE,2,A,14,centro,Eletro,301,JOAO MANOEL GOMES DA SILVA JUNIOR
DELAE,2019 - I,ENG10005,LABORATÓRIO DE CONTROLE,2,B,14,Qua,13:30,2,JOAO MANOEL GOMES DA SILVA JUNIOR
DELAE,2019 - I,ENG10005,LABORATÓRIO DE CONTROLE,2,B,14,centro,Eletro,301,JOAO MANOEL GOMES DA SILVA JUNIOR
DELAE,2019 - I,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,A,14,Seg,18:30,2,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,A,14,centro,Eletro,200,AURÉLIO TERGOLINA SALTON
DELAE,2019 - I,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,B,14,Qua,8:30,2,RENATO VENTURA BAYAN HENRIQUES
DELAE,2019 - I,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,B,14,centro,Eletro,200,RENATO VENTURA BAYAN HENRIQUES
DELAE,2019 - I,ENG10032,MICROCONTROLADORES,2,A,20,Qua,8:30,2,WALTER FETTER LAGES
DELAE,2019 - I,ENG10032,MICROCONTROLADORES,2,A,20,centro,Eletro,301,WALTER FETTER LAGES
DELAE,2019 - I,ENG10032,MICROCONTROLADORES,2,B,21,Qua,15:30,2,WALTER FETTER LAGES
DELAE,2019 - I,ENG10032,MICROCONTROLADORES,2,B,21,centro,Eletro,301,WALTER FETTER LAGES
DELAE,2019 - I,ENG10008,PLANEJAMENTO ENERGÉTICO,4,U3,15,Ter,10:30,2,SERGIO LUIS HAFFNER
DELAE,2019 - I,ENG10008,PLANEJAMENTO ENERGÉTICO,4,U3,15,centro,Eletro,301,SERGIO LUIS HAFFNER
DELAE,2019 - I,ENG10008,PLANEJAMENTO ENERGÉTICO,4,U3,15,Qui,10:30,2,SERGIO LUIS HAFFNER
DELAE,2019 - I,ENG10008,PLANEJAMENTO ENERGÉTICO,4,U3,15,centro,Eletro,301,SERGIO LUIS HAFFNER
DELAE,2019 - I,ENG10046,PRINCÍPIOS DE ELETRÔNICA DE POTÊNCIA,2,U,45,Qui,13:30,2,MARIANA RESENER
DELAE,2019 - I,ENG10046,PRINCÍPIOS DE ELETRÔNICA DE POTÊNCIA,2,U,45,centro,Eletro,303,MARIANA RESENER
DELAE,2019 - I,ENG10048,PROTOCOLOS DE COMUNICAÇÃO - A,4,A,20,Ter,13:30,2,ALCEU HEINKE FRIGERI
DELAE,2019 - I,ENG10048,PROTOCOLOS DE COMUNICAÇÃO - A,4,A,20,centro,Eletro,301,ALCEU HEINKE FRIGERI
DELAE,2019 - I,ENG10048,PROTOCOLOS DE COMUNICAÇÃO - A,4,A,20,Qui,13:30,2,ALCEU HEINKE FRIGERI
DELAE,2019 - I,ENG10048,PROTOCOLOS DE COMUNICAÇÃO - A,4,A,20,centro,Eletro,301,ALCEU HEINKE FRIGERI
DELAE,2019 - I,ENG10018,SISTEMAS DE CONTROLE II,4,U3,30,Seg,8:30,2,ALEXANDRE SANFELICE BAZANELLA
DELAE,2019 - I,ENG10018,SISTEMAS DE CONTROLE II,4,U3,30,centro,Eletro,303,ALEXANDRE SANFELICE BAZANELLA
DELAE,2019 - I,ENG10018,SISTEMAS DE CONTROLE II,4,U3,30,Qua,8:30,2,ALEXANDRE SANFELICE BAZANELLA
DELAE,2019 - I,ENG10018,SISTEMAS DE CONTROLE II,4,U3,30,centro,Eletro,303,ALEXANDRE SANFELICE BAZANELLA
